212		きれい 	na-adj 	pretty, clean, nice, tidy	adjective01
594	古い 	ふるい 	adj 	old (not person), aged, ancient	adjective01
100	大きい 	おおきい 	adj 	big	adjective01
403	小さい 	ちいさい 	adj 	small, little	adjective01
727	悪い 	わるい 	adj 	bad, inferior	adjective01
21	新しい 	あたらしい 	adj 	new	adjective01
548	早い 	はやい 	adj 	early	adjective01
720	若い 	わかい 	adj 	young	adjective01
549	速い 	はやい 	adj 	quick, fast	adjective01
115	遅い 	おそい 	adj 	late, slow	adjective01
45		いい/よい 	adj 	good	adjective01
86		うるさい 	adj 	noisy, loud, annoying	adjective01
101	大きな 	おおきな 	na-adj 	big	adjective01
404	小さな 	ちいさな 	na-adj 	small, little	adjective01
299	静か 	しずか 	na-adj 	quiet, peaceful	adjective01
377	大好き 	だいすき 	na-adj, n 	very likeable, like very much	adjective01
332	好き 	すき 	na-adj, n 	liking, fondness, love	adjective01
209	嫌い 	きらい 	na-adj, n 	dislike, hate	adjective01
35	危ない 	あぶない 	adj 	dangerous, critical, watch out!	adjective02
701	弱い 	よわい 	adj 	weak, feable	adjective02
427	強い 	つよい 	adj 	strong, powerful	adjective02
183	軽い 	かるい 	adj 	light, non-serious, minor	adjective02
456	遠い 	とおい 	adj 	far, distant	adjective02
135	重い 	おもい 	adj 	heavy	adjective02
382	高い 	たかい 	adj 	tall, high	adjective02
136		おもしろい 	adj 	interesting, amusing	adjective02
425		つまらない 	adj 	insignificant, boring	adjective02
405	近い 	ちかい 	adj, suf 	near, close by, short	adjective02
376	大丈夫 	だいじょうぶ 	na-adj, adv, n 	safe, all right, O.K.	adjective02
321	丈夫 	じょうぶ 	na-adj, n 	strong, solid, durable	adjective02
639	丸い/円い 	まるい 	adj 	round, circular	adjective03
566	低い 	ひくい 	adj 	short, low	adjective03
591	太い 	ふとい 	adj 	fat, thick	adjective03
352	狭い 	せまい 	adj 	narrow, confined, small	adjective03
644	短い 	みじかい 	adj 	short	adjective03
614	細い 	ほそい 	adj 	thin, slender, fine	adjective03
79	薄い 	うすい 	adj 	thin, weak	adjective03
484	長い 	ながい 	adj 	long	adjective03
320	上手 	じょうず 	na-adj, n 	skill, skillful, dexterity	adjective03
599	下手 	へた 	na-adj, n 	unskillful, poor	adjective03
580	広い 	ひろい 	adj 	spacious, wide	adjective04
392	楽しい 	たのしい 	adj 	enjoyable, fun	adjective04
188		かわいい 	adj 	cute, charming	adjective04
690		ゆっくり・と 	adv, n 	slowly, at ease	adjective04
347	背 	せい 	n 	height, stature	adjective04
381		たいへん 	na-adj, adv, n 	difficult situation, tough situation	adjective04
606	便利 	べんり 	na-adj, n 	convenient, handy	adjective04
378	大切 	たいせつ 	na-adj, n 	important	adjective04
70	嫌 	いや 	na-adj, n 	disagreeable, no	adjective04
688	有名 	ゆうめい 	na-adj, n 	famous	adjective04
502		にぎやか 	na-adj, n 	bustling, busy	adjective04
707		りっぱ 	na-adj, n 	splendid, fine	adjective04
238	結構 	けっこう 	na-adj, n-adv, n 	nice, enough	adjective04
426	冷たい 	つめたい 	adj 	cold (to the touch)	adjective05
25	厚い 	あつい 	adj 	kind, warm(hearted), thick, deep	adjective05
19	暖かい 	あたたかい 	adj 	warm, mild	adjective05
337	涼しい 	すずしい 	adj 	cool, refreshing	adjective05
512	温い 	ぬるい 	adj 	lukewarm	adjective05
24	熱い 	あつい 	adj 	hot (thing)	adjective05
179	辛い 	からい 	adj 	spicy, salty	adjective05
98		おいしい 	adj 	delicious, tasty	adjective05
631		まずい 	adj 	unappetising, unpleasant (taste)	adjective05
36	甘い 	あまい 	adj, expr 	generous, sweet	adjective05
180	体 	からだ 	n 	body	body
221	口 	くち 	n 	mouth, orifice, opening	body
428	手 	て 	n 	hand	body
522	歯 	は 	n 	tooth	body
662	目 	め 	n 	eye, eyeball	body
654	耳 	みみ 	n 	ear	body
15	足 	あし 	n 	foot, leg	body
20	頭 	あたま 	n 	head	body
153	顔 	かお 	n 	face (person)	body
544	鼻 	はな 	n 	nose	body
125		おなか 	n 	stomach	body
357	先生 	せんせい 	n 	teacher, master, doctor	classroom
206	教室 	きょうしつ 	n 	classroom	classroom
421	机 	つくえ 	n 	desk	classroom
229		クラス 	n 	class	classroom
318	授業 	じゅぎょう 	n, vs 	lesson, class work	classroom
436		テスト 	n, vs 	test	classroom
113	教える 	おしえる 	ru-v 	to teach, to inform	classroom
393	頼む 	たのむ 	u-v 	to request, to ask	classroom
87	上着 	うわぎ 	n 	coat, jacket	clothes
692	洋服 	ようふく 	n 	Western-style clothes	clothes
351	背広 	せびろ 	n 	business suit	clothes
222	靴 	くつ 	n 	shoes, footwear	clothes
223	靴下 	くつした 	n 	socks	clothes
251		コート 	n 	coat	clothes
313		シャツ 	n 	shirt, singlet	clothes
331		スカート 	n 	skirt	clothes
342		ズボン 	n 	trousers (fr: jupon)	clothes
344		スリッパ 	n 	slippers	clothes
349		セーター 	n 	sweater, jumper	clothes
719		ワイシャツ 	n 	shirt (lit: white shirt), business shirt	clothes
586	服 	ふく 	n, n-suf 	clothes	clothes
211	着る 	きる 	ru-v 	to wear, to put on (from shoulders down)	clothes
310	締める 	しめる 	ru-v 	to tie, to fasten	clothes
159		かける 	ru-v 	to put on (eg glasses)	clothes
511	脱ぐ 	ぬぐ 	u-v 	to take off clothes	clothes
175		かぶる 	u-v 	to wear, to put on (head)	clothes
529		はく 	u-v 	to wear, to put on (trousers)	clothes
608	帽子 	ぼうし 	n 	hat	clothes complements
664	眼鏡 	めがね 	n 	spectacles, glasses	clothes complements
277	財布 	さいふ 	n 	wallet	clothes complements
173		かばん 	n 	bag, basket	clothes complements
513		ネクタイ 	n 	tie, necktie	clothes complements
558		ハンカチ 	n 	handkerchief	clothes complements
611		ポケット 	n 	pocket	clothes complements
615		ボタン 	n 	button	clothes complements
7	明るい 	あかるい 	adj 	bright, cheerful	color
227	暗い 	くらい 	adj 	dark, gloomy	color
326	白い 	しろい 	adj 	white	color
6	赤い 	あかい 	adj 	red	color
4	青い 	あおい 	adj 	blue	color
192	黄色い 	きいろい 	adj 	yellow	color
234	黒い 	くろい 	adj 	black	color
325	白 	しろ 	n 	white	color
651	緑 	みどり 	n 	green	color
75	色 	いろ 	n 	colour	color
411	茶色 	ちゃいろ 	n 	brown	color
5	赤 	あか 	n 	red	color
3	青 	あお 	n 	blue	color
191	黄色 	きいろ 	n 	yellow	color
233	黒 	くろ 	n 	black	color
283	～冊 	～さつ 	n 	counter for books	counter
143	～回 	～かい 	n 	counter for occurrences	counter
525	～杯 	～はい 	n 	counter for cupfuls	counter
144	～階 	～かい 	n 	counter for storeys of a building	counter
447	～度 	～ど 	n-suf 	counter for occurrences	counter
327	～人 	～にん 	n, suf 	counter for people	counter
243	～個 	～こ 	n, suf 	counter for small items	counter
373	～台 	～だい 	suf 	counter for vehicles/machines	counter
510	～人 	～にん 		counter for people	counter
563	～匹 	～ひき 		counter for small animals	counter
618	～本 	～ほん 		counter for long cylindrical things	counter
621	～枚 	～まい 		counter for flat things	counter
645	水 	みず 	n 	water	drink
204	牛乳 	ぎゅうにゅう 	n 	milk	drink
285	砂糖 	さとう 	n 	sugar	drink
248	紅茶 	こうちゃ 	n 	black tea	drink
519	飲み物 	のみもの 	n 	drink, beverage	drink
170		カップ 	n 	cup	drink
252		コーヒー 	n 	coffee	drink
261		コップ 	n 	cup	drink
520	飲む 	のむ 	u-v 	to drink	drink
109	お酒 	おさけ 	n 	alcohol, sake (rice wine)	drink
452		どうぞ 	adv 	please, kindly, by all means	etiquette
454		どうも 	adv, int 	thanks, very	etiquette
668		もしもし 	conj, int 	hello (on phone)	etiquette
219		ください 	kana only 	(with te-form verb) please do for me	etiquette
97		お～ 	prefix 	honourable ～ (honorific)	etiquette
288		～さん 	suf 	Mr or Mrs	etiquette
698	呼ぶ 	よぶ 	u-v 	to call out, to invite	etiquette
239	結婚 	けっこん（する） 	adj-no, n, vs 	marriage	family
709	両親 	りょうしん 	n 	parents, both parents	family
129	伯母さん/叔母さん 	おばさん 	n 	aunt	family
111	伯父/叔父・さん 	おじ・さん 	n 	uncle, middle aged man	family
29	兄 	あに 	n 	(hum) older brother	family
207	兄弟 	きょうだい 	n 	siblings (brothers and sisters)	family
69	妹 	いもうと 	n 	younger sister	family
30	姉 	あね 	n 	(hum) older sister	family
264	子供 	こども 	n 	child, children	family
166	家族 	かぞく 	n 	family	family
119	弟 	おとうと 	n 	younger brother	family
547	母 	はは 	n 	(one's own) mother	family
410	父 	ちち 	n 	(one's own) father	family
112		おじいさん 	n 	grandfather, male senior citizen	family
130		おばあさん 	n 	grandmother, female senior-citizen	family
83	生まれる 	うまれる 	ru-v 	to be born	family
127	お兄さん 	おにいさん 	n 	(hon) older brother	family honorific
128	お姉さん 	おねえさん 	n 	(hon) older sister	family honorific
103	お母さん 	おかあさん 	n 	(hon) mother	family honorific
118	お父さん 	おとうさん 	n 	(hon) father	family honorific
108	奥さん 	おくさん 	n 	(hon) wife	family honorific
132	お弁当 	おべんとう 	n 	boxed lunch	food
110	お皿 	おさら 	n 	plate, dish	food
116	お茶 	おちゃ 	n 	tea (green)	food
104	お菓子 	おかし 	n 	confections, sweets, candy	food
396	食べ物 	たべもの 	n 	food	food
39	飴 	あめ 	n 	(hard) candy, toffee	food
532		はし 	n 	chopsticks	food
715		レストラン 	n 	restaurant	food
397	食べる 	たべる 	ru-v 	to eat	food
210	切る 	きる 	suf, u-v 	to cut, to chop	food
476	とり肉 	とりにく 	n 	chicken meat	food ingredients
398	卵 	たまご 	n 	egg(s)	food ingredients
293	塩 	しお 	n 	salt	food ingredients
220	果物 	くだもの 	n 	fruit	food ingredients
203	牛肉 	ぎゅうにく 	n 	beef	food ingredients
503	肉 	にく 	n 	meat	food ingredients
588	豚肉 	ぶたにく 	n 	pork	food ingredients
676	野菜 	やさい 	n 	vegetable	food ingredients
278	魚 	さかな 	n 	fish	food ingredients
184		カレー 	n 	curry	food ingredients
322		しょうゆ 	n 	soy sauce	food ingredients
538		バター 	n 	butter	food ingredients
557		パン 	n 	bread	food ingredients
57	痛い 	いたい 	adj 	painful	health
576	病気 	びょうき 	n 	illness, disease, sickness	health
164	風邪 	かぜ 	n 	cold, illness	health
242	元気 	げんき 	na-adj, n 	health	health
330	吸う 	すう 	u-v 	to smoke, to breathe in, to suck	health
305	死ぬ 	しぬ 	v5n 	to die	health
171	家庭 	かてい 	n 	home, household	home
172	角 	かど 	n 	corner (e.g. desk)	home
82		うち 	n 	house (one's own)	home
155		かぎ 	n 	key/s	home
48	家 	いえ 	suf 	house, family	home
361	掃除 	そうじ（する） 	n, vs 	cleaning, sweeping	home activity
358	洗濯 	せんたく 	n, vs 	washing, laundry	home activity
515	寝る 	ねる 	ru-v 	to go to bed, to sleep	home activity
106	起きる 	おきる 	ru-v 	to get up, to rise	home activity
34		あびる 	ru-v 	to bathe, to shower	home activity
160		かける 	ru-v 	to dial/call (eg phone)	home activity
40	洗う 	あらう 	u-v 	to wash	home activity
642	磨く 	みがく 	u-v 	to brush (teeth)	home activity
713	冷蔵庫 	れいぞうこ 	n 	refrigerator	home furniture
460	時計 	とけい 	n 	watch, clock	home furniture
619	本棚 	ほんだな 	n 	bookshelves	home furniture
55		いす 	n 	chair	home furniture
339		ストーブ 	n 	heater (lit: stove)	home furniture
431		テーブル 	n 	table	home furniture
131	お風呂 	おふろ 	n 	bath	home hygiene
350	石鹸 	せっけん 	n 	soap	home hygiene
314		シャワー 	n 	shower	home hygiene
449		トイレ 	n 	toilet	home hygiene
595		ふろ 	n 	bath	home hygiene
600		ベッド 	n 	bed	home hygiene
117	お手洗い 	おてあらい 		toilet, lavatory, bathroom	home hygiene
197	汚い 	きたない 	adj 	dirty, messy	home room
379	台所 	だいどころ 	n 	kitchen	home room
717	廊下 	ろうか 	n 	corridor	home room
446	戸 	と 	n 	door (Japanese style)	home room
638	窓 	まど 	n 	window	home room
602	部屋 	へや 	n 	room	home room
148	階段 	かいだん 	n 	stairs	home room
448		ドア 	n 	door (Western style)	home room
66	犬 	いぬ 	n	dog	home things
312	写真 	しゃしん 	n 	photograph	home things
526	灰皿 	はいざら 	n 	ashtray	home things
514	猫 	ねこ 	n 	cat	home things
530	箱 	はこ 	n 	box	home things
174	花瓶 	かびん 	n 	(flower) vase	home things
443	電気 	でんき 	n 	electricity, (electric) light	home things
185		カレンダー 	n 	calendar	home things
394		たばこ 	n 	tobacco, cigarettes	home things
601		ペット 	n 	pet	home things
637		マッチ 	n 	match	home things
88	絵 	え 	n, n-suf 	picture, drawing, painting, sketch	home things
80	歌 	うた 	n 	song	leisure
140	音楽 	おんがく 	n 	music	leisure
196		ギター 	n 	guitar	leisure
341		スポーツ 	n 	sport	leisure
523		パーティー 	n 	party	leisure
565	弾く 	ひく 	u-v 	to play (piano,  guitar)	leisure
81	歌う 	うたう 	u-v 	to sing	leisure
137	泳ぐ 	およぐ 	u-v 	to swim	leisure
18	遊ぶ 	あそぶ 	u-v 	to play, to enjoy oneself	leisure
# 	Kanji 	Kana 	Type 	Definition/s	lesson
685	夕飯 	ゆうはん 	n 	dinner	meal
266	御飯 	ごはん 	n 	rice (cooked), meal	meal
579	昼御飯 	ひるごはん 	n 	lunch, midday meal	meal
560	晩御飯 	ばんごはん 	n 	dinner, evening meal	meal
13	朝御飯 	あさごはん 	n 	breakfast	meal
340		スプーン 	n 	spoon	meal
412		ちゃわん 	n 	rice bowl	meal
482		ナイフ 	n 	knife	meal
584		フォーク 	n 	fork	meal
710	料理 	りょうり 	n, vs 	cooking, cuisine	meal
230		グラム 	n 	gram	measure
390		たて 	n 	length, height	measure
663		メートル 	n 	metre, meter	measure
213		キロ/キログラム 	n, pref 	kilo (kilogram)	measure
214		キロ/キロメートル 	n, pref 	kilo (kilometre)	measure
328	新聞 	しんぶん 	n 	newspaper	media
89	映画 	えいが 	n 	movie, film	media
90	映画館 	えいがかん 	n 	movie theatre (theater), cinema	media
284	雑誌 	ざっし 	n 	magazine	media
177		カメラ 	n 	camera	media
429		テープ 	n 	tape	media
430		テープレコーダー 	n 	tape recorder	media
441		テレビ 	n 	television, TV	media
508		ニュース 	n 	news	media
705		ラジオ 	n 	radio	media
706		ラジカセ 	n 	radio cassette player	media
714		レコード 	n 	record	media
445	電話 	でんわ 	n, vs 	telephone	media
647	見せる 	みせる 	ru-v 	to show, to display	media
655	見る 	みる 	ru-v 	to see, to watch	media
478	撮る 	とる 	u-v 	to take (a photo)	media
194	聞く 	きく 	u-v 	to hear, to listen, to ask	media
699	読む 	よむ 	u-v 	to read	media
724	私 	わたくし 	adj-no, n 	I, myself	misc01
723	私 	わたし 	adj-no, n 	I, myself	misc01
63	一緒 	いっしょ 	adv, n 	together	misc01
534	初め/始め 	はじめ 	expr 	beginning, start	misc01
493	何 	なん/なに 	int, n 	what	misc01
224	国 	くに 	n 	country	misc01
409	地図 	ちず 	n 	map	misc01
250	声 	こえ 	n 	voice	misc01
307	自分 	じぶん 	n 	myself, oneself	misc01
28		あなた 	n 	you	misc01
359	全部 	ぜんぶ 	n-adv, n-t 	all, entire, whole	misc01
554	半 	はん 	n-adv, n, n-suf 	half	misc01
187	側 	～がわ 	n-suf 	～ side	misc01
126	同じ 	おなじ 	na-adj, n 	same, identical, similar	misc01
500	何～ 	なん～ 		what sort of ～	misc01
561	半分 	はんぶん 		half	misc01
612	欲しい 	ほしい 	adj 	want, in need of, desire	misc02
336	少し 	すこし 	adv, n 	little, few	misc02
294		しかし 	conj 	however, but	misc02
362		そうして/そして 	conj 	and, like that	misc02
311		じゃ/じゃあ 	conj, int 	well, well then	misc02
439		でも 	conj, prt 	but, however	misc02
372		それでは 	exp 	in that situation, well then...	misc02
610	外 	ほか 	n 	other place, the rest	misc02
145	外国 	がいこく 	n 	foreign country	misc02
419	次 	つぎ 	n 	next	misc02
671	物 	もの 	n 	thing, object	misc02
545	話 	はなし 	n 	talk, story	misc02
669	持つ 	もつ 	u-v 	(1) to hold, to carry, (2) to possess	misc02
146	外国人 	がいこくじん 	n 	foreigner	misc02
481		ない 	adj 	there isn't, doesn't have	misc03
367		その 	adj-pn 	that	misc03
265		この 	adj-pn, int 	this	misc03
450		どう 	adv 	how, in what way	misc03
467		とても 	adv 	very	misc03
488		なぜ 	adv 	why	misc03
620		ほんとう 	adv 	reality, truth	misc03
633		まだ 	adv 	yet, still, besides	misc03
670		もっと 	adv 	more, longer, farther	misc03
693		よく 	adv 	frequently, often	misc03
694		よく 	adv 	well, skillfully	misc03
632		また 	adv, conj, n 	again, and	misc04
415		ちょっと 	adv, int 	a little, somewhat	misc04
451		どうして 	adv, int 	why?, for what reason	misc04
666		もう 	adv, int 	again	misc04
395		たぶん 	adv, n 	perhaps, probably	misc04
402		だんだん 	adv, n 	gradually, by degrees	misc04
275		さあ 	conj, int 	come now,  well	misc04
524		はい 	conj, int 	yes	misc04
92		ええ 	conj, int, n 	yes	misc04
437		では 	expr 	with that...	misc05
1		ああ 	int 	Ah!, Oh!	misc05
32		あの 	int 	um...	misc05
44		あれ 	int, n 	that, that thing	misc05
46		いいえ 	int, n 	no, not at all	misc05
269		これ 	int, n 	this	misc05
370		それ 	n 	it, that	misc05
479		どれ 	n 	which (of three or more)	misc05
581		フィルム 	n 	film (roll of)	misc05
388		～たち 	n-suf 	plural suffix	misc05
491		～など 	n, n-suf, prt 	et cetera	misc06
76		いろいろ 	na-adj, adj-no, adv, n 	various	misc06
273		こんな 	na-adj, adj-pn, adv, n 	such, like this	misc06
480		どんな 	na-adj, adj-pn, n 	what, what kind of	misc06
49		いかが 	na-adj, adv, n 	how, in what way	misc06
380		たいへん 	na-adj, adv, n 	very	misc06
636		まっすぐ 	na-adj, adv, n 	straight (ahead), direct	misc06
31		あの 	pren-adj 	that over there	misc06
470		どの 	pren-adj 	which	misc06
384		～だけ 	prt 	only ～, just ～	misc06
485		～ながら 	prt 	while ~ing, during, although	misc06
434		できる 	ru-v 	to be able to	misc07
182		～がる 	suf 	feel	misc07
333		～すぎ 	suf 	to exceed, ～ too much	misc07
338		～ずつ 	suf 	at a time, gradually	misc07
